,Universités/Instituts Supérieurs,Catégories,Adresses,Départments,Villes,Names,Latitudes,Longitudes,Locations
0,Université Adventiste dHaïti (UNAH),Privé,"Route de la Mairie de Carrefour, Diquini 63, Carrefour",Ouest,Carrefour,Université Américaine des Cayes (UAC) ci-devant American University of the Caribean.,18.2138993,-73.7497597,"(18.2138993, -73.7497597)"
1,Université Américaine des Cayes (UAC) ci-devant American University of the Caribean.,Privé,"Route Nationale 2, Arrondissement des Cayes",Sud,Cayes,Université Autonome Charlemagne Péralte (UNACP),18.5417136,-72.2887988,"(18.5417136, -72.2887988)"
2,Université Américaine des Sciences Modernes dHaïti (UNASMOH),Privé,"Delmas 65, Rue Neptune, Port-au-Prince",Ouest,Delmas,Université Bellevue (UNIBEL),18.5572606,-72.3047109,"(18.5572606, -72.3047109)"
3,Université Autonome de Port-au-Prince (UNAP),Privé,"Santo 25, Rue Robert #05, Croix-des-Bouquets, Haiti",Ouest,Croix-des-Bouquets,Université Caraïbe (UC),18.5518464,-72.2920071,"(18.5518464, -72.2920071)"
4,Université Autonome Charlemagne Péralte (UNACP),Privé,"10 Impasse Ambroise, Port-au-Prince",Ouest,Port-au-Prince,Université Chrétienne du Nord dHaïti (UCNH),19.7497554,-72.2075468,"(19.7497554, -72.2075468)"
5,Université Bellevue (UNIBEL),Privé,"Delmas 31, Rue Valcin #6",Ouest,Delmas,"Université de la Concorde / Concord University, ci-devant CCHEC-CUMES",18.5364741,-72.333579,"(18.5364741, -72.333579)"
6,Université Caraïbe (UC),Privé,Delmas 29 # 7,Ouest,Delmas,Université de la Fondation Aristide (UFA),18.5683295,-72.2616117,"(18.5683295, -72.2616117)"
7,Université Chrétienne du Nord dHaïti (UCNH),Privé,Haut Limbé,Nord,Limbé,Université des Sciences Administratives et de la Santé (UNISAS),18.5550055,-72.2883987,"(18.5550055, -72.2883987)"
8,Université Chrétienne de la Communauté de Caïman (UCCC),Privé,"Antoine Johnny, Pignon, Haiti",Nord,Pignon,Université Evangélique dHaïti (UNEH),18.5397852,-72.3242062,"(18.5397852, -72.3242062)"
9,"Université de la Concorde / Concord University, ci-devant CCHEC-CUMES",Privé,"Ave H.Christophe, Port-au-Prince",Ouest,Port-au-Prince,Université Episcopale dHaïti (UNEPH),18.5394563,-72.3364515,"(18.5394563, -72.3364515)"
10,Université de la Fondation Aristide (UFA),Privé,"16 Rue Fleurent 2, Tabarre",Ouest,Tabarre,Université Jean-Price Mars (UJPM),43.6035844,3.8938288,"(43.6035844, 3.8938288)"
11,Université de Port-au-Prince (UP),Privé,"# 19,20 Rue Rivière P.au.P",Ouest,Port-au-Prince,Université Lumière (UL),33.7020127,-7.3546925,"(33.7020127, -7.3546925)"
12,Université des Sciences Administratives et de la Santé (UNISAS),Privé,"19, Rue Hérard, Delmas 33",Ouest,Delmas,Universite Libre dHaïti (ULH),18.5102205,-72.2876097,"(18.5102205, -72.2876097)"
13,Université dEtudes Internationales (UDEI),Privé,"5, Village Zao, Maïs Gaté 13, bloc Gérald Bataille",Ouest,Delmas,Université Métropole dHaïti (UMH),18.3630943,-73.2224768,"(18.3630943, -73.2224768)"
14,Université Evangélique dHaïti (UNEH),Privé,"30, rue carlstroem ",Ouest,Port-au-Prince,Université Notre Dame dHaïti (UNDH),18.5286452,-72.3315511,"(18.5286452, -72.3315511)"
15,Université Episcopale dHaïti (UNEPH),Privé,"14,Rue Légitime Champs-de-Mars Port-au-Prince, Haïti",Ouest,Port-au-Prince,Université Quisqueya (UNIQ),18.52646605,-72.32165116837467,"(18.52646605, -72.32165116837467)"
16,Université INUKA,Privé,"Boulevard du 15 Octobre, Port-au-Prince",Ouest,Tabarre,Université La Pléiade dHaïti (UPLEH),18.5407356,-72.3327464,"(18.5407356, -72.3327464)"
17,Université GOC,Privé,"Avenue M.L.K., Port-au-Prince",Ouest,Port-au-Prince,Université Royale dHaïti (URH),18.5299964,-72.3244255,"(18.5299964, -72.3244255)"
18,Université Intégrée de la Caraïbe (UNICA),Privé,"6, Angle Rues Pierre Sully et Germain, Delmas 19",Ouest,Delmas,Université Atlantique dHaïti (UNIVERSAH),19.7610596,-72.2004269,"(19.7610596, -72.2004269)"
19,Université Jean-Price Mars (UJPM),Privé,"143, Rue Toussaint Louverture",Centre,Hinche,Université La Ferrière Joseph,19.7598951,-72.2008825,"(19.7598951, -72.2008825)"
20,Université Lumière (UL),Privé,"29, Rue O",Ouest,Port-au-prince,Université la Renaissance dHaïti (URH),18.5365901,-72.3349107,"(18.5365901, -72.3349107)"
21,Universite Libre dHaïti (ULH),Privé,"40 Rue Lamarre, Port-au-Prince",Ouest,Port-au-Prince,Faculté des Sciences de lEducation Regina Assumpta (FERA),39.856639625,-75.06215949999999,"(39.856639625, -75.06215949999999)"
22,Université Métropole dHaïti (UMH),Privé,"Fond des Nègres, Route Nationale #2, Sud",Sud,Fond des Nègres, Institut de Formation des Cadres (IFC),18.5259313,-72.3352838,"(18.5259313, -72.3352838)"
23,Université Notre Dame dHaïti (UNDH),Privé,"6, rue sapotille, pacot, Port-au-prince, Haïti",Ouest,Port-au-prince, Institut de Formation des Cadres (IFC),18.8274658,-72.1069161,"(18.8274658, -72.1069161)"
24,Université Polyvalente dHaïti (UPH),Privé,"Lalue, Rue Robin, Port-au-Prince",Ouest,Port-au-Prince,Institut de Formation Juridique et des Sciences Connexes des Cayes (INFOJUSC),-0.2545091,-78.5608151,"(-0.2545091, -78.5608151)"
25,Université Providence dHaïti (UPROH),Privé,"Boulvard de l'Université Balan, Ganthier",Ouest,Ganthier,"Institut de Management Territorial, dEtudes et de Recherche Politiques (IMTERP)",18.5367051,-72.3251514,"(18.5367051, -72.3251514)"
26,Université Quisqueya (UNIQ),Privé,"218 Avenue Jean Paul II, Port-au-Prince",Ouest,Port-au-Prince,Institut Haïtien des Sciences Administratives (IHSA),18.547327,-72.3395928,"(18.547327, -72.3395928)"
27,Université Queensland (UQ),Privé,"Delmas 29 prolongé, Université Queensland ",Ouest,Delmas,Institut Supérieur dAdministration et de Gestion (ISAG),18.5365901,-72.3349107,"(18.5365901, -72.3349107)"
28,Université Roi Henri Christophe (URHC),Privé,"45,rue 18 H & I Cap-Haïtien",Nord,Cap-Haïtien,Institut Supérieur des Sciences Economiques Politiques et Juridiques (ISSEPJ),18.5433424,-72.3322759,"(18.5433424, -72.3322759)"
29,Université Ruben Leconte (URL),Privé,"Delmas 53 #10, 9 Rue Tertulien Guilbaud, Bourdon. Port-au-Prince, HAITI.",Ouest,Delmas,Institut Supérieur et Universitaire Professionnalisé (ISUP-EMATECH),19.7518727,-72.4293463,"(19.7518727, -72.4293463)"
30,Université Saint-Gérard (USG),Privé,"70, Ruelle Saint Gerard Carrefour-Feuilles, Port-au-Prince, Haiti",Ouest,Carrefour-feuilles,Institut Universitaire des Sciences de lEducation (IUSE/CREFI),18.5442973,-72.3341616,"(18.5442973, -72.3341616)"
31,Université Joseph Lafortune (UJLF),Privé,"47, Rue Herard Prolongée, Delmas 33 à l'intérieur",Ouest,Delmas,Institut Universitaire des Sciences Juridiques et de Développement Régional (INUJED),19.753727,-72.2128447,"(19.753727, -72.2128447)"
32,Université La Pléiade dHaïti (UPLEH),Privé,"172, Avenue Christophe, Port-au-Prince",Ouest,Port-au-Prince,Institut Louis Pasteur (ILP),18.5397392,-72.3375786,"(18.5397392, -72.3375786)"
33,Université Royale dHaïti (URH),Privé,"#24, rue Debussy, turgeau",Ouest,Port-au-Prince,Institut Panaméricaine des Hautes Etudes en Gouvernance (HEG),23.16626635,-82.29496278986633,"(23.16626635, -82.29496278986633)"
34,Université Mont Everest dHaïti (UNEDH),Privé,"Camille Leon Bois-Verna #12, Port-au-Prince, Haiti",Ouest,Port-au-Prince,Ecole de Droit et de Notariat de Saint-Marc,44.9014478,3.1911751,"(44.9014478, 3.1911751)"
35,Université Nouvelle Grande-Anse (UNOGA),Privé,"5 Carretera Dekade, Jeremie, Route Jeremie",Grande-Anse,Jeremie,Ecole Supérieure Catholique de Droit de Jérémie (ESCDROJ),18.6462712,-74.1177728,"(18.6462712, -74.1177728)"
36,Université Franco-Haïtienne du Cap-Haïtien (UFCH),Privé,"391, Carrefour lachaux, Petite Anse",Nord,Petit Anse,Ecole Supérieure Isaac Newton (ESIN),19.9389855,-72.8308129,"(19.9389855, -72.8308129)"
37,Université Atlantique dHaïti (UNIVERSAH),Privé,"31, rue 18, Cap-Haitien",Nord,Cap-Haitien,Ecole Supérieure de Chimie (CHEMTEK),18.5320471,-72.3225779,"(18.5320471, -72.3225779)"
